國立政治大學 !!!查詢自己有沒有選上：inccu全校課程查詢裡的追蹤清單 有選上課程下方會有「已選上」標記!!! 大家好過了一學期我又浮出來了 雖然下學期一階能選的課比較少 主要戰場都在二階 但還是有不少學期整開課 歡迎大家回報積陰德 下面是上學期的回報文 2/3填二階的時候可以參考參考 政治大學板 國立政治大學  19/8/  27 安安大家好，小弟之前有看到加簽回報集中串，覺得想法很好能幫助很多人，也減少版上的詢問文章，現在想說很多人在填志願序時，也常常沒有往年統一資料可以做參考，看能不能也開個回報，試試可不可行，提供資訊前先看 政治大學板 國立政治大學  19/8/30 現在選課結果開獎到個人信箱中...，記得收信喔，安安大家好，前幾天發了一階志願回報回響還不錯，決定二階再開一篇統整，二階幾乎都是學期課，這些資訊下學期就用得到了，希望大家多多分享造福報，如果一階還有要 麻煩附上完整課名跟老師名字 排1有上
不用留言 感謝大家 整開 
管理學 楊昇翰 排2沒上
管理學 曾威智 排1不一定上
管理學 林芝樺 排1不一定上
管理學 張彥成 排2沒上
財務管理 黃慶堂 排4沒上
行銷管理 朴星俊 排2沒上
行銷管理 陳冠儒 排3沒上
行銷管理 白佩玉 排1不一定上
行銷管理 林穎青 排2沒上
計量經濟學 盧敬植 排3有上
貨幣銀行學 張興華 排2有上
投資學 陳聖賢   三D56 排1不一定上
投資學 陳聖賢   四D56 排1不一定上
投資學 黃泓智 排5有上
衍生性商品 林士貴 排5沒上
社會責任與倫理 羅明琇 排2沒上
資料分析與程式設計入門 吳雅鈴 排2有上
資料分析與程式設計入門 吳雅鈴 排3沒上
資料分析與程式設計入門 杜雨儒 排2不一定上
多媒體與程式設計軟體 林湘霖 排1不一定上
多媒體與程式設計軟體 張瑞岩 排4有上
商事法 周振鋒 排2沒上
商事法 王立達 排1不一定上
商事法 沈宗倫 排2有上
商事法 沈宗倫 排3沒上
普通心理學 張裕隆 排3有上
選修 應用現象學 汪文聖 排7有上
知識論 鄭光明 排4沒上
莎士比亞與哲學 詹康 排8有上
電影評論寫作 聞天祥 排1不一定上
社會階層 張峯彬 排8有上
從媒介文化看漫畫 李衣雲 排3有上
經濟思想史 李為楨 排3上
國際租稅問題 陳香梅 排3有上
財務金融資訊分析 顏佑銘 排2有上
資產管理策略與應用 林靖庭 排2有上
投資銀行策略與實務 張興華 排3沒上
金融科技與商業創新 陳威光 排4有上
金融科技趨勢與創新 王儷玲 排7有上
資料處理 徐愛恩 排2有上
SAS/R商業資料分析 周珮婷 依身分不同有異 
稅務會計 金志遠 一階未滿
聲音製作 黃葳威 排5有上
紀實採寫 鄭宇君 排3有上
當代電影理論 李政亮 排4沒上
資訊圖表與視覺化 李怡志 排2沒上
公共關係基礎 鄭怡卉 排2有上
傳播英文 葉侃彧 排2有上
媒體內容企劃 湯昇榮 排3沒上(應為非學程生)
媒體內容企劃 湯昇榮 排4有上(應為學程生)
數位影像設計 裘錦天 排1不一定上
選修英文：英文寫作 陳彩虹 排1不一定上
韓國文化遺產巡禮 林侑毅 排3有上
韓國政治與民主化 朱立熙 排2沒上
北韓研究 朱立熙 排2沒上(外系生)
北韓研究 朱立熙 排4有上(應為外院生)
選修英文：職場溝通 金嘉炘 排2有上
憲法 劉定基 排1不一定上
憲法 謝碩駿 排2有上
基礎法學導論 江玉琳 排3有上
基礎法學導論 黃琴唐 排2有上
身分法 戴瑀如 排1不一定上
身分法 王海南 排2有上
身分法 劉宏恩 排5有上
民法債編各論 呂彥彬 排3沒上
民法債編各論 王千維 排5有上
民法債編總論（一） 楊芳賢 排2有上
民法總則實例研習 吳瑾瑜 排3有上
民法總則實例研習 吳瑾瑜 排6沒上
物權法實例研習 吳瑾瑜 排4沒上
計算機程式 蔡炎龍 排1不一定上
醫學知識和健康管理 蕭勝煌 排5有上
資料結構與演算法 許志堅 排3有上
服務課 服務學習課程－動物園（平日班） 詹康 排3有上
服務學習課程－動物園（假日班） 詹康 排2不一定上
服務學習課程－萬芳醫院服務 詹康 排4有上
服務學習課程－社資中心與分館 林巧敏 一階未滿
服務學習課程－圖書館 陳志銘 排2沒上
服務學習課程－公益實習服務 吳瑾瑜 排4有上
服務學習課程－山居學習暨休閒中心之管理 蔡炎龍 排4不一定上
服務學習課程－運動志工 陳志威 排2有上
