國立政治大學 
通識部分 
自然核 
生活中的生命科學 趙知章   一78二EF 排2沒上
大腦與我 賴桂珍   三EF五  56 排6上
大腦與我 廖瑞銘   四78E 排3上
大腦與我 廖文霖   二78三CD 排3上
生活中的律動 蔡尚岳   二78E 排3上
探索數位世界 郭正佩   五78E 排1上
心理與生活 林姿葶   五D56 排1沒上(2位)
探索數位世界 張家銘   三78FG 排1上(4位)
生活中的律動 蔡尚岳   二78E 排4有上
自然 
視力保健與眼睛疾病   一78 林人傑 排7上
衛生保健 蔡兆勳   四D5 排2上
台灣環境生態   二D5 排4上
長期照護與健康產業發展 黃遵誠   四78 排6上
醫學基礎概論 潘懷宗   五78 排3上
傳統醫學概論 施睿宏   一12 排2有上
傳統醫學概論 施睿宏   一12 排3不一定上(5位有上 4位沒上)
健康管理專題講座 邱弘毅   一56 排4上(2位)
環境，生活，與癌症 歐月星   四78 排3沒上
預防醫學與校園健康 吳逸帆   三78 排2上
預防醫學與校園健康 吳逸帆   三78 排3不一定上 (1位有上 2位沒上)
醫療與生活 呂志得   二78 排3上
醫療與生活 呂志得   二78 排4沒上
醫療與生活 林怡君   四78 排8上
醫療與生活 林志凌   五78 排4上
天氣與氣候 苟予潔   二78 排6上
認識中醫藥 邱榮鵬   五78 排2上
認識中醫藥 邱榮鵬   五78 排3沒上
生物技術導論 陳建志   三78 排5上
醫療與生活 消化系統疾病與生活 陳冠仰   一56 排2上
探索海洋 從水岸到深海 陳建宏   一78 排4不一定上(1位上 2位沒上)
藥物使用與生活的關係 潘俊宏   二78 排5不一定上(各1)
藥物使用與生活的關係 潘俊宏   二78 排3不一定上(1位上 1位沒上)
藥物使用與生活的關係 潘俊宏   二78 排2沒上?! 
人文核 
語言的人文與科學 何萬順   二78E 排2沒上
語言的人文與科學 何萬順   三78E 排1上
語言的人文與科學 何萬順   三78E 排2沒上
語言的人文與科學 何萬順   五D56 排2不一定上(4位上 1位沒上)
語言的人文與科學 何萬順   五D56 排4沒上
語言的人文與科學 何萬順   一78E 排2沒上
近代臺灣歷史與人物 林果顯   三CD78 排2上
近代台灣歷史與人物 鄭麗榕   二CD78 二階未滿
生命探索與宗教文化 張毅民   五D56 排1不一定上 (4位有上 1位沒上)
生命探索與宗教文化 黃柏棋   二78E 排2沒上(2位)
西方文學經典與人文思維 林質心、邱彥彬   三78E 排3沒上
人文 
東亞與當代女性文學 范銘如   五D56 排3沒上(2位)
台灣電影史：藝術、文化、社會與政治 李福鐘   四78 排3沒上
歷史：過去與當代的對話 劉季倫   四78 排5沒上(2位)
風水、建築與環境 邱博舜   三34 排4上
數位傳播與人文藝術 黃葳威   一78 排3上
數位傳播與人文藝術 黃葳威   一78 排4沒上
轉型期與近代東亞: 從1930年代到1940年代 曾士榮   一78 排6上
近代臺灣人物 曾士榮   三78 排4上
近代臺灣人物 曾士榮   三78 排5沒上
西歐歷史建築 邱博舜   三78 排9沒上
風土、餐桌與台灣史 黃仁姿   二78E 排2上(2位)
風土、餐桌與台灣史 黃仁姿   二78E 排3不一定上(各1位)
科技電影賞析與創作 陳宜秀   二78E 排4上
社會核 
生活中的經濟學 周德宇   一CD四  78 排1上
生活中的經濟學 羅光達   二78五CD 排2上
教育探索與自我學習 王素芸   一78E 排3沒上
環視全球 連弘宜   三78E 排2沒上(2位)
法學素養 劉定基   三78E 排1不一定上(1位上 1位沒上)
法學素養 傅玲靜   一78E 排3有上
中國大陸概論 劉致賢   一78E 排2上
